dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,Value
0.30738732,0.024914097,0.033186547,0.09816747,0.09926301,0.34277892,0.24383785,0.2926652,0.3012256,0.21839707,0.06965964,0.5841147,0.13370633,0.33289766,0.037128456,0.084500946,0.15406066179275513
0.35165226,0.05178708,0.12038602,0.17424421,0.09224292,0.29888165,0.31333017,0.37458786,0.2549872,0.31466568,0.056695234,0.4775567,0.014539676,0.26969242,0.12711915,-0.08978716,0.2861943542957306
0.4377966,-0.02722307,0.10417167,0.13268249,0.09101761,0.3552124,0.23758465,0.3751123,0.27255738,0.27712637,0.06279408,0.49272898,0.14344563,0.16861115,-0.018216839,-0.019266,0.27790987491607666
0.3529902,0.09295724,0.070617154,0.13617946,0.060153883,0.3192157,0.26943687,0.3364626,0.29150483,0.29584524,0.049205605,0.46701849,0.0034682136,0.3893388,0.06847248,-0.050918326,0.17161498963832855
0.30951822,0.036600497,-0.057528034,0.18688844,0.19930793,0.3574722,0.11651286,0.32319862,0.41887826,0.24074416,0.08899067,0.46263474,0.054533176,0.341238,0.06318651,-0.017401416,0.26339998841285706
0.39024317,0.102400504,0.088043235,0.103510424,0.03473701,0.2807186,0.25849545,0.29504713,0.22480302,0.3721286,0.051713455,0.4608739,0.019780584,0.42096418,0.05585362,0.007700464,0.06814709305763245
0.4376045,0.11533919,0.17894661,0.16299067,0.08437747,0.20443095,0.28190082,0.4110288,0.38836095,0.24722357,0.095777266,0.38749564,0.018018154,0.18655105,0.109091744,-0.14487964,0.32419997453689575
0.43678185,-0.019281019,0.1570978,0.13998383,0.07590672,0.40330884,0.16205816,0.36714602,0.31917349,0.17779167,0.11483068,0.42049658,0.1443712,0.275475,0.04394236,-0.11379964,0.3473459780216217
0.36955467,0.14217567,0.09001701,0.07976863,0.0102058165,0.15793528,0.20432888,0.38486513,0.4198397,0.15304323,0.12530547,0.43688655,0.08474838,0.402878,0.1775457,-0.080966786,0.1822315901517868
0.36777228,0.14697386,0.1059255,0.17984669,0.09168523,0.22484773,0.31853145,0.36379108,0.33678505,0.22538434,0.047990467,0.4606424,-0.005773839,0.29045114,0.15172929,-0.14378637,0.28187450766563416
0.43321413,0.07641835,0.21723136,0.28279305,0.18861401,0.33534732,0.27588886,0.32379094,0.3336416,0.2071141,0.16597514,0.3142162,0.10221161,0.20293272,0.08421058,-0.105466664,0.38981130719184875
0.48808414,0.090248205,0.13276501,0.20939983,0.15739426,0.37134305,0.2921963,0.3111681,0.31668204,0.20276682,0.16175097,0.3174791,0.15980726,0.22117196,0.06513811,-0.014989945,0.2927907705307007
0.47697252,0.11361071,0.17598358,0.25205532,0.19759987,0.31693485,0.22131702,0.29939955,0.38480207,0.19909732,0.16894351,0.31438318,0.12661125,0.21076344,0.078666136,-0.07240079,0.34425246715545654
0.46341825,0.047961194,0.21155186,0.23233578,0.16937739,0.34272704,0.1845637,0.30491546,0.33202732,0.2555149,0.14496566,0.3735867,0.123641856,0.2312362,0.06810577,-0.03890368,0.32577794790267944
0.47986954,0.083606996,0.1961565,0.25775045,0.19126181,0.34950575,0.21929488,0.3137789,0.33707765,0.23808613,0.1493482,0.30550644,0.1230728,0.20405644,0.056252126,-0.081509955,0.35542935132980347
0.47274974,0.07418705,0.23730516,0.22430257,0.1564608,0.34249583,0.27473876,0.31962273,0.31406066,0.23511551,0.169237,0.3099677,0.1036072,0.209909,0.08163037,-0.06971974,0.342245489358902
0.51288384,0.06650983,0.12454571,0.24720792,0.19059515,0.3402914,0.23379187,0.32489628,0.3134101,0.21012264,0.18926229,0.3275261,0.10953203,0.19250269,0.081922464,-0.0482235,0.34058719873428345
0.5047447,0.10713029,0.2180948,0.22292826,0.14327046,0.32713577,0.26874176,0.32331267,0.33572885,0.22307293,0.16173008,0.29206327,0.09553134,0.19972382,0.07036756,-0.065541714,0.3193303346633911
0.45240152,0.0877586,0.18226269,0.26556656,0.16619836,0.43101728,0.26684973,0.27749327,0.34664223,0.1985298,0.16560012,0.25618258,0.08564519,0.23045039,0.060295995,-0.0746387,0.3507676124572754
0.5043671,0.106427126,0.21728459,0.2369774,0.122859046,0.31915054,0.23469062,0.30878013,0.36446762,0.24047379,0.17065246,0.2986341,0.108717576,0.1918119,0.056057744,-0.053078227,0.30175280570983887
0.5321662,0.072826035,0.20554252,0.2786301,0.17723157,0.32681644,0.21707074,0.33136988,0.32870492,0.22682075,0.15632287,0.25375065,0.095384344,0.1550067,0.058952264,-0.10745193,0.3806418776512146
