dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,Value
0.08464113,-0.1800232,0.24331506,-0.12325028,-0.15168925,-0.23516832,-0.6705268,-0.05266835,-0.066982366,0.08327872,0.09503854,-0.5581653,0.010549079,0.06705726,-0.1328665,0.03280956,-0.20535492897033691
0.28041312,-0.102218196,-0.09720397,0.37202078,0.063342154,0.5243768,0.42023432,-0.011459758,-0.07293773,0.11920705,0.017102204,-0.067923255,-0.045361113,-0.37833112,-0.36974424,0.031955786,0.20515400171279907
0.14338721,0.1931165,-0.23099232,-0.01773214,0.3196375,-0.49965838,-0.17911907,0.11942141,0.41121134,0.24801287,-0.018625943,-0.008691269,-0.29255304,-0.3005851,-0.13044074,0.2575294,-0.18066343665122986
0.0006574004,-0.13928351,0.37890926,0.06138184,-0.30937234,0.23777202,-0.17840487,-0.14541711,-0.36249685,0.06254213,0.089224614,-0.5669269,0.012029999,0.22998486,0.05998893,-0.3266794,0.05935661867260933
0.011747548,-0.14326252,0.053428996,-0.07575807,-0.088126324,-0.30844504,0.16053914,-0.03592997,-0.16599606,-0.53277576,0.027020793,-0.07880113,0.24296881,-0.5860275,-0.2586849,0.23032829,-0.06221442669630051
0.03553274,0.2756048,0.02569296,-0.17526,0.11902892,-0.7832502,-0.048950873,0.1706443,0.34368455,-0.097728856,0.015395655,0.006829659,-0.18113442,-0.19393794,0.17222957,0.06481088,-0.12367308139801025
0.07076046,-0.06819357,0.07503445,-0.124474145,0.26310784,-0.55397516,-0.06278316,0.10185634,-0.1684356,0.24320753,-0.11959111,-0.004369216,-0.121160954,-0.62651056,-0.18108752,0.19224519,-0.06123695522546768
0.002333897,-0.1210935,-0.23032692,-0.0050539896,-0.16404253,0.21757218,0.30844375,-0.10384751,-0.112210386,-0.44463587,-0.008045038,0.31796926,0.35569572,-0.17962429,-0.35641214,0.39345914,-0.2100498378276825
-0.039634846,0.148276,-0.27063328,0.09499424,0.0038535818,-0.1958633,-0.031957656,-0.3339434,-0.13137978,0.14226866,0.008187753,-0.50645584,-0.24971993,-0.34649298,-0.40497643,0.32057974,-0.49763622879981995
-0.30186373,-0.16211574,0.060503013,-0.190212,-0.12359545,-0.030945595,-0.66747385,-0.19086207,-0.06257852,-0.18294486,0.065963104,-0.34069425,0.13956387,0.37371486,0.14790015,-0.075818986,-0.10049136728048325
0.10465013,-0.11418264,0.29353836,0.145188,0.16060375,0.44207287,0.3543841,0.22877206,0.021323534,0.057582214,0.0009283383,0.42223248,0.1742991,0.056628883,0.3391431,-0.37277764,0.6899335980415344
0.16815934,-0.06826621,0.31749168,0.20703107,0.11908481,0.3801573,0.3506598,0.28900555,0.032658875,0.13135411,0.008651321,0.32037643,0.08543239,0.08320614,0.37494358,-0.42704913,0.6827828884124756
0.22051764,-0.17416608,0.32122895,0.19826618,0.14757021,0.45134327,0.31332856,0.2702292,0.0016071106,0.07084596,0.0007190344,0.30647725,0.2037034,-0.09253618,0.2620624,-0.40517783,0.7568773031234741
0.16642635,-0.032061867,0.30287755,0.16927573,0.11436316,0.41235328,0.3371405,0.26716256,0.0611697,0.106904164,-0.0010197873,0.3189781,0.07644807,0.18167324,0.35665518,-0.4469461,0.6456277370452881
0.18179508,-0.06870464,0.20529245,0.21532731,0.24055791,0.45794803,0.16683169,0.329755,0.1794929,0.12578295,0.045635223,0.33750737,0.11378592,0.16341446,0.3304608,-0.3958219,0.7159250378608704
0.23883046,-0.009629258,0.3464822,0.15660818,0.09198496,0.37799457,0.32317555,0.25285408,-0.004901219,0.18703872,-0.0033710834,0.3092349,0.07748363,0.21734715,0.35354742,-0.4119323,0.5683591961860657
0.25964832,-0.020322949,0.3759552,0.194666,0.13899437,0.33795175,0.3203049,0.32677418,0.15611069,0.07659002,0.04254297,0.2752634,0.08874397,0.01226278,0.31675455,-0.4402834,0.7135980725288391
0.26438156,-0.11443985,0.34749117,0.17696889,0.1356412,0.46366188,0.22072458,0.30022374,0.09431376,0.055604547,0.051544357,0.29579782,0.16575998,0.05009429,0.27108723,-0.43253797,0.7328568696975708
0.17467405,-0.05098056,0.29951912,0.1274839,0.1415499,0.35078067,0.23425582,0.3253593,0.14857818,0.04711777,0.052419487,0.348335,0.12899855,0.17118724,0.38740897,-0.46119,0.6971564888954163
0.22811571,0.041465536,0.29078108,0.20291483,0.14565474,0.34293652,0.3547923,0.294308,0.11811769,0.115721606,0.0036823445,0.34514374,0.05759999,0.13207234,0.3562706,-0.41836536,0.6323351263999939
0.11580259,-0.2391484,0.37692916,0.1555744,0.20970587,0.3095032,0.25133672,0.31846002,-0.093159825,0.07936563,-0.01520766,0.20959295,0.054187935,-0.17377761,0.30993512,-0.52002907,0.8462380766868591
0.30724707,-0.14940616,0.13382885,0.16315717,0.13293403,0.4699347,0.31604877,0.34954673,0.17306574,0.13002829,0.010630577,0.48196372,0.16589028,0.09601856,0.15493399,-0.19535078,0.55010586977005
0.18040644,-0.2384977,0.3095823,0.122880794,0.31726235,0.2363072,0.008412865,0.40256426,0.24574208,-0.0021372195,0.030266957,0.21295321,0.06347605,-0.12218187,0.32825154,-0.497635,0.9088940620422363
0.1932523,-0.3322167,0.3307897,0.037748296,0.20528805,0.30931798,0.022189705,0.3781614,0.016632902,0.18626834,-0.065266825,0.46954373,0.10466986,-0.0063773794,0.24815182,-0.35754752,0.7188335657119751
0.15089257,-0.3362565,0.33629185,0.117707476,0.30887192,0.29842252,0.028670484,0.36687124,0.0066470625,0.10312223,-0.028364353,0.23770995,0.0774781,-0.21653393,0.2546848,-0.48124665,0.8979962468147278
0.22674382,-0.25340226,0.40332618,0.10896704,0.16353709,0.3288632,0.20044562,0.35903355,-0.053602688,0.19152686,-0.02222577,0.26480514,0.030526564,-0.08321984,0.27318937,-0.46172324,0.7644177079200745
0.31169584,-0.19748089,0.16375427,0.1918571,0.24837683,0.40602916,0.19590408,0.38165194,0.1291443,0.20787574,-0.0046953247,0.39601225,0.023912642,-0.049950525,0.22302194,-0.34654135,0.7250564098358154
0.42919084,-0.1648271,0.43273744,0.14537762,0.02976979,0.27643594,0.2514415,0.4271957,0.104027174,0.12866242,0.040321637,0.22052507,0.043634336,-0.049215473,0.17505227,-0.38027176,0.6407060623168945
0.13242115,-0.15664433,0.19974172,0.2810143,0.1576737,0.58652484,0.22952567,0.23379694,0.16390815,-0.04892294,0.06272676,0.093156405,0.030010447,0.019634748,0.26715365,-0.4983138,0.8162696361541748
0.3851013,-0.18390082,0.42084324,0.13744178,0.1339629,0.19690174,0.18060821,0.4439284,0.12792414,0.21635763,0.015652034,0.25252056,0.008246263,-0.14265025,0.19219974,-0.3884913,0.694121241569519
0.2398544,-0.22225474,0.28772956,0.14497502,0.32996622,0.25434962,0.087795205,0.43186507,0.21944503,0.009982884,0.013510115,0.31607372,0.09144552,-0.14373904,0.28842172,-0.4011591,0.8668146729469299
