dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,Value
0.13595322,0.13281888,0.1135957,0.26907784,0.098724276,0.2513198,0.26031822,-0.064050265,0.12682872,0.19381681,0.08370314,0.22676146,0.13032068,0.049641214,0.28118953,0.02406994,-0.062457595,0.46434623,0.026393902,0.20253295,0.21200952,-0.009462138,0.1221268,0.009099271,-0.0073284535,0.0011962716,0.045875404,0.08846201,0.28152964,0.22206633,0.09241138,-0.23292354,-0.10798139870166779
0.14001268,0.14364259,0.08781222,0.29867786,0.07253343,0.24060166,0.22987871,0.0006758138,0.08824592,0.2190566,0.08795837,0.17827669,0.10486958,0.08735608,0.29724157,-0.01449042,-0.08027287,0.47858799,0.033230465,0.17036597,0.22311577,0.016890762,0.1215941,-0.0157224,-0.023594834,0.072953954,0.09244275,0.07124331,0.2725059,0.21997331,0.06585483,-0.25915855,-0.09969670325517654
0.17879152,0.09891513,0.063122734,0.3034459,0.08795735,0.27733064,0.22132559,-0.010690015,0.071214646,0.19028687,0.066511214,0.1586626,0.20757923,0.052696194,0.2890265,-0.047928315,-0.11833221,0.4706266,-0.034670364,0.1409197,0.24009986,0.107630484,0.12284603,-0.010622424,-0.045341935,-0.0023619656,0.05628314,0.05321639,0.29666203,0.21327288,0.14714973,-0.14718416,0.015052991919219494
0.1335506,0.16449527,0.06603508,0.25118783,0.09660423,0.24071051,0.21905573,-0.0054908814,0.10042441,0.16013235,0.04335564,0.15405686,0.114014156,0.121800125,0.2680958,-0.03347776,-0.09744467,0.5257008,-0.004667454,0.22273195,0.21309975,-0.010472638,0.10434744,0.018087283,-0.0062197982,0.053740513,0.12895109,0.049123563,0.2655316,0.18617699,0.10728122,-0.28163382,-0.15194883942604065
0.16418707,0.16471317,0.021709237,0.3051685,0.14381003,0.27116543,0.22231556,-0.01151373,0.08533288,0.17317213,0.04421786,0.1547052,0.14318421,0.105530724,0.2932403,-0.06362099,-0.12834787,0.45551103,-0.03996025,0.11139412,0.20914157,0.10882305,0.15345508,-0.027287634,-0.032635313,0.048582118,0.114665166,0.07432042,0.26185188,0.26820242,0.11849132,-0.17096297,0.020802313461899757
0.13845874,0.18574235,0.06904669,0.26808694,0.13203663,0.23689348,0.24885397,-0.019655675,0.07529634,0.18983144,0.0057332106,0.12823804,0.098178454,0.12789665,0.31974778,-0.04151907,-0.099442855,0.4953527,-0.007788605,0.17425251,0.2329947,0.028255591,0.09493025,0.0049518337,-0.014660781,0.06967661,0.0932391,0.058517933,0.26130617,0.20250465,0.108782746,-0.23992138,-0.10225362330675125
0.12086368,0.19605084,0.115795866,0.28695127,0.09237403,0.25036657,0.26040852,-0.014598259,0.103363544,0.17925195,0.07219701,0.18117493,0.10497157,0.05214404,0.26754627,-0.027393695,-0.13839081,0.43823045,0.031341158,0.1502583,0.24639747,0.0051747775,0.16432615,-0.07383617,-0.031861495,0.13474323,0.07698866,0.019124102,0.26502436,0.21479952,0.07020038,-0.2651846,-0.11789096146821976
0.16565977,0.16503032,0.0700437,0.29172692,0.1119546,0.2905424,0.23584613,-0.023328329,0.08722907,0.18610023,0.07484483,0.17364419,0.15521339,0.07175077,0.28292114,-0.069181964,-0.14295459,0.44618767,-0.043843687,0.10251775,0.23739494,0.073983565,0.13613413,-0.05370071,-0.0135145625,0.07630043,0.076204054,0.060397893,0.28082377,0.25357938,0.119314164,-0.14856334,-0.008212239481508732
0.12826599,0.18989721,0.054740865,0.25476962,0.09927603,0.25515893,0.23631871,0.0022280465,0.07965454,0.18118404,0.048909456,0.1770323,0.10089918,0.10693837,0.28312477,-0.030361978,-0.11772067,0.47060573,0.026860518,0.18184955,0.22059055,0.02932074,0.12990898,0.0020871898,-0.039053906,0.09360757,0.063867226,0.059394863,0.28848472,0.21494052,0.0941989,-0.285406,-0.14173787832260132
0.1434824,0.17698742,0.09369101,0.30626893,0.120780244,0.24934788,0.23261738,0.023462582,0.08459336,0.1641491,0.021971643,0.13750678,0.09364763,0.07799743,0.31313157,-0.049249284,-0.13408509,0.47821185,-0.016340256,0.16275947,0.23760188,0.038194202,0.075830445,-0.024921529,-0.0122756995,0.1024803,0.03890302,0.08715578,0.2494193,0.20098971,0.04422745,-0.28849715,-0.09781410545110703
