dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,Value
0.015483899,0.22955287,0.073482424,0.18421894,0.23384754,-0.15263061,0.16529489,0.008303301,0.105121545,0.27490658,0.17278513,0.14514136,-0.10735438,0.11912258,0.206245,0.08462738,-0.023463827,0.039230324,0.11737927,0.11711158,0.012928366,0.035443522,0.06304355,0.15799098,0.11738445,-0.061017822,-0.0184788,0.037647057,0.021277362,0.025057388,-0.04348934,-0.023677902,0.18473998,0.056577448,0.10732663,0.058223996,0.110963106,0.12530114,0.067316204,-0.004504099,0.15571727,0.23847133,0.15689184,0.030257959,0.097922206,-0.05246207,-0.033554543,0.1460567,-0.028171282,0.078665875,0.060032405,-0.004659125,0.26907098,-0.07719927,0.13042152,0.034482926,0.21812898,0.06764877,0.09929584,0.07079621,0.13672495,0.23915984,0.108880505,0.1359156,-0.04203395918011665
0.008069163,0.20789224,0.066397175,0.2176315,0.20941484,-0.14635529,0.12960455,0.034556452,0.07957521,0.29108045,0.1875558,0.11602383,-0.10914945,0.14396742,0.22257806,0.082997195,-0.03193434,0.041606035,0.12125219,0.09511671,0.017173134,0.044413578,0.05782223,0.14276984,0.1056818,-0.017141376,0.023668695,0.04148575,0.011937365,0.03819273,-0.031314403,-0.025141537,0.1611044,0.059729792,0.090367384,0.07155815,0.13685316,0.13921463,0.07033788,0.030671358,0.1404663,0.2299986,0.12681504,0.03201287,0.13364601,-0.08052705,-0.008142258,0.13880035,-0.025848579,0.060111064,0.058982287,-0.00040550146,0.27371737,-0.061845433,0.12402779,0.04977149,0.24701487,0.088358894,0.067345984,0.07144701,0.1872369,0.21434963,0.08511361,0.17932494,-0.008316566236317158
0.05820161,0.21604426,0.08021578,0.21504119,0.21261208,-0.14387815,0.12596646,0.028553128,0.08795482,0.2893593,0.17785597,0.12546232,-0.06533794,0.09246187,0.21279399,0.045686588,-0.056609828,0.06131651,0.10787907,0.11916699,0.033180803,0.06621135,0.07845536,0.13532849,0.09301032,-0.07501149,-0.01157451,0.015110884,0.03051043,0.02727855,-0.028945481,-0.01400771,0.16637683,0.010265212,0.11677927,0.05941698,0.11037424,0.131243,0.04886009,-0.0013723312,0.1650219,0.21506613,0.16093521,0.033856187,0.0935149,-0.0673482,-0.011847452,0.13592833,-0.037638158,0.06542742,0.073518805,0.036894,0.28073862,-0.11234289,0.1445875,0.055909034,0.24552459,0.03929081,0.113176756,0.0943209,0.15107878,0.22543722,0.12198844,0.16239235,-0.08507729321718216
0.018221224,0.20830414,0.05529517,0.1928695,0.21393186,-0.13143289,0.11781484,0.020567887,0.09976723,0.2477538,0.16849075,0.12136182,-0.113918774,0.14904732,0.2161424,0.067016944,-0.039282072,0.07791484,0.101864345,0.12590858,0.009994997,0.03569154,0.06505546,0.13959877,0.10009712,-0.033580255,0.038695324,0.027982773,0.050510116,0.023507891,0.0059747547,-0.030399436,0.13550447,0.088286325,0.07950068,0.054354064,0.122635074,0.15656608,0.04413282,0.015033843,0.1392305,0.21734743,0.16024573,0.013148729,0.11205923,-0.039404314,-0.005476743,0.1571584,-0.048711892,0.062762596,0.06070804,0.023222461,0.30724436,-0.07344944,0.13071518,0.015255288,0.28056267,0.08975334,0.06812068,0.0776309,0.19599754,0.21311823,0.06890442,0.19811948,-0.06770643591880798
0.035237264,0.22481559,0.056647897,0.21435773,0.2568528,-0.1406683,0.11124225,0.029961977,0.07520577,0.28349832,0.20179142,0.122705534,-0.12003869,0.149859,0.20770575,0.06739439,-0.05960959,0.0447319,0.08619432,0.10817054,0.01974789,0.07454109,0.069511965,0.13336383,0.094645314,-0.037369546,0.03317887,0.03526463,0.014268145,0.066046596,-0.03475132,-0.004882415,0.14360002,0.05379832,0.1003529,0.07237432,0.11713562,0.15046114,0.05867167,-0.007497148,0.15859604,0.22590022,0.14780428,0.032654688,0.07908388,-0.04506734,-0.026593186,0.15832897,-0.031488914,0.04638712,0.07603378,0.020161824,0.25931722,-0.08552877,0.08286423,0.07745054,0.24102923,0.07557449,0.09223689,0.073310964,0.1195574,0.24936648,0.12226868,0.15561025,-0.04634203016757965
0.018278016,0.22989307,0.066211164,0.19907035,0.23976667,-0.16058385,0.14942254,0.010572649,0.060790736,0.30007315,0.18595946,0.10896187,-0.12920749,0.1515498,0.21097475,0.065727256,-0.04609547,0.052007087,0.094133355,0.086929694,0.014990642,0.04869703,0.056282952,0.1333175,0.10940877,-0.04383514,0.00530291,0.027916793,0.017863391,0.035425484,-0.034168676,-0.02789512,0.15538678,0.028611049,0.12633385,0.06564573,0.1301263,0.14667901,0.054215744,0.008049243,0.13969648,0.22493017,0.13355531,0.019192642,0.09363096,-0.06749746,-0.025294976,0.1460414,-0.03841993,0.06842131,0.062221453,0.017560959,0.27653146,-0.07765132,0.10701223,0.054812286,0.26187742,0.09796754,0.07965137,0.067043856,0.14275485,0.22849104,0.08418239,0.13829672,-0.02038830891251564
0.008133824,0.2337311,0.086614296,0.20968063,0.21537182,-0.14415695,0.15260065,0.018257294,0.09732692,0.27680656,0.16931218,0.115298755,-0.10922305,0.1136231,0.20707643,0.054457672,-0.05450693,0.036098804,0.1268422,0.100416474,0.035593927,0.03972492,0.08841269,0.12119,0.103013046,-0.00082127727,0.011280777,-0.010956936,0.02562698,0.018110834,-0.031947467,-0.03353296,0.15893646,0.058376126,0.103483625,0.054558545,0.13718292,0.13531546,0.07926656,-0.028275535,0.15167509,0.22297022,0.14555615,0.034211047,0.10298725,-0.04060818,-0.022413211,0.16644229,-0.021575391,0.040752504,0.073707744,0.026934454,0.29303047,-0.08293304,0.096259266,0.07468844,0.23846772,0.06460206,0.119257845,0.079544984,0.14227918,0.2394101,0.11447444,0.15585116,-0.07858771085739136
0.03595094,0.23678114,0.07554393,0.1952539,0.24018365,-0.14026533,0.11395614,0.03219611,0.08157892,0.2903792,0.1855831,0.118224114,-0.11273982,0.1378308,0.20585933,0.045264013,-0.061294507,0.021977188,0.09638886,0.09337086,0.020505054,0.05711491,0.06479799,0.13417457,0.11627959,-0.025870942,0.011895318,0.021685163,0.014509525,0.047599576,-0.02888825,-0.001656566,0.15864168,0.052888542,0.11746951,0.052381616,0.12099082,0.13587613,0.07076411,-0.0065114987,0.15858419,0.2181588,0.1308523,0.010109248,0.1278731,-0.05889129,-0.026042035,0.10758899,-0.01494405,0.05612146,0.08559388,0.031197509,0.28983665,-0.089250065,0.12820871,0.083115995,0.2509779,0.058352694,0.09849604,0.09472649,0.13641587,0.23371702,0.114831135,0.14991178,-0.06234552711248398
0.01744911,0.22820775,0.051608287,0.18740743,0.22049531,-0.13941285,0.13290277,0.02824365,0.070178136,0.28233966,0.17505534,0.13931987,-0.11905736,0.14617385,0.21499795,0.059977356,-0.05317222,0.053095225,0.11904798,0.112998955,0.013668126,0.046693455,0.06907154,0.16066462,0.08596747,-0.025179075,-0.0035557074,0.028775914,0.039119672,0.03137822,-0.01639977,-0.05385825,0.13930668,0.07423052,0.09241953,0.055061303,0.10664893,0.14768831,0.057324857,-0.0022537806,0.14807768,0.20629692,0.14687644,0.0039780843,0.09456161,-0.03646586,-0.023660585,0.16759677,-0.024395948,0.022933112,0.07619961,0.008954334,0.28336033,-0.08848041,0.105765924,0.08428007,0.26066864,0.030708876,0.10663505,0.09568373,0.13318114,0.25066718,0.10174955,0.17733862,-0.09622976183891296
0.040779147,0.23139182,0.0702845,0.2365628,0.24479419,-0.13867852,0.1369149,0.031377908,0.066582136,0.2941228,0.176011,0.115487084,-0.1252472,0.1402135,0.2043968,0.03629415,-0.067678675,0.060659446,0.08887598,0.09059995,0.029076926,0.061426453,0.037825376,0.13398737,0.119342975,-0.019222168,-0.025018513,0.054457624,0.016117644,0.03552002,-0.057471484,-0.05054994,0.16581671,0.05432359,0.119377166,0.06931627,0.13316083,0.14401881,0.070222445,0.0013678174,0.16113383,0.22669894,0.14492677,0.019764563,0.11453136,-0.05947723,-0.05607689,0.1272077,-0.014527997,0.046185676,0.06570029,0.018077139,0.2530164,-0.05968372,0.08750492,0.087818384,0.24412724,0.045133382,0.092299275,0.057913076,0.12709187,0.24581768,0.081673145,0.15172158,-0.03397659957408905
