dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,Value
-0.018530417,0.0076105725,0.05312872,0.14884733,0.10233408,-0.10110141,0.062365737,-0.05624501,-0.0108333565,0.24940255,0.26788333,0.1418341,-0.3153485,0.06970383,0.12709117,0.10015508,-0.13565029,0.26360014,-0.0047707027,0.04646912,0.04929222,0.119262815,-0.04369114,0.18487081,-0.059086826,-0.20063013,-0.08817578,0.09963917,0.1610323,-0.056471836,-0.019269876,-0.18718138,0.1776445,-0.06885855,0.17683388,0.04083491,0.0023656301,0.14770433,-0.1509734,0.031527363,0.13518071,0.09766251,0.16490339,-0.023247065,-0.018052919,-0.106595725,-0.10435014,0.09090757,-0.18122783,0.073992096,-0.08479271,-0.08802964,0.061082598,-0.076931484,-0.09583537,-0.05310572,0.249282,0.14304452,-0.037808143,0.016548669,0.118635036,0.10757875,-0.03689298,0.07711894,0.18748100101947784
8.077971e-05,-0.08263275,-0.002210421,-0.17718196,-0.03268461,0.12431004,-0.039660852,0.11234773,-0.11295061,-0.08190229,0.08304087,-0.059761155,-0.07332854,-0.0005159007,-0.24268188,0.084293395,0.024778847,0.07298176,-0.24365488,-0.18450077,0.1657399,0.09650308,-0.058023464,0.048745885,0.09119157,0.05633815,-0.13233888,0.10630172,0.112756774,0.10859447,-0.20261995,0.12228118,-0.028671976,-0.09234291,0.14741126,0.07272457,-0.07447657,-0.06472166,0.019084632,0.10168339,-0.07245254,-0.21264875,-0.2221634,0.06741581,-0.09925477,0.13078716,-0.003682684,-0.045179773,0.1073811,0.01920795,-0.05171931,0.059940953,-0.28132182,0.25458965,-0.22640552,0.009899499,-0.2630711,0.034586523,-0.09410378,0.018593777,-0.12156302,-0.122701846,0.052242324,-0.2263103,0.21516413986682892
-0.012868218,-0.1628683,-0.05584802,-0.15842998,-0.17495589,0.20856795,-0.23152588,-0.019723717,-0.029238272,-0.23060937,-0.18993156,-0.022721851,0.19857033,-0.04137348,-0.1124501,0.00020545145,0.1310355,0.08801319,0.07848419,0.029041147,-0.041587304,-0.027685698,-0.018234184,-0.15077968,-0.18253331,0.21100211,0.19758023,0.052331302,0.06744387,-0.04266726,0.3170738,-0.09560805,-0.22826882,0.118105404,-0.044272017,0.016076196,-0.122040875,-0.02439456,-0.0001944548,0.052088384,-0.14883687,-0.12588516,-0.048287675,-0.022738956,0.028926369,0.07018036,0.15390167,-0.2751842,0.030021437,-0.036656152,-0.09638955,-0.039472777,-0.23153566,0.0024956893,-0.054520812,-0.017822813,-0.08967044,-0.1495985,0.041566707,-0.08112144,-0.095761575,-0.109136276,-0.099186,0.085334055,0.06516537070274353
0.1467858,0.102125295,-0.055803455,0.1713852,-0.0060801827,-0.12820596,-0.054343566,0.01947231,0.042162336,0.12803334,-0.101044714,0.042883758,-0.053107012,-0.016623648,0.22507866,-0.17721824,-0.025627647,0.026254278,0.089502655,0.027416768,-0.1463344,-0.10975401,0.1256197,0.03822561,-0.011756945,0.012289684,0.02667513,-0.14603099,0.066549905,-0.14893933,-0.06876969,-0.07448591,0.013766934,0.12003425,-0.12934887,-0.09473009,-0.0037529557,0.13633637,0.0732141,-0.09335602,0.08837352,0.102474205,0.17112736,-0.039872084,-0.07424945,-0.05512883,-0.14146845,0.062203877,-0.010162996,-0.007489966,0.1541364,0.095183186,0.28764024,-0.24572654,0.31929913,0.1282079,0.28911856,-0.21633163,0.1569,0.11255551,-0.123122066,0.14278948,0.0029968692,0.16735236,-0.7185197472572327
0.05458104,0.004952998,-0.15677051,0.2654908,-0.07793948,-0.06157145,-0.020742258,0.06102772,0.00068752305,0.10650525,0.07293727,-0.1367539,-0.02069646,-0.011683145,0.045819607,-0.060541388,-0.04215964,-0.002274271,-0.046958193,-0.16442123,-0.063049406,-0.01593603,0.07658439,-0.14310023,-0.061822742,0.117316596,-0.043160107,-0.28556117,0.12941355,0.092562445,0.16728537,0.03765959,-0.014700163,-0.007237296,-0.09502375,-0.16052899,0.07818676,0.16761231,0.06548293,-0.0057024737,0.07412518,0.048865348,-0.057834778,-0.23150638,-0.07124382,-0.026571913,-0.07361945,0.0044264807,-0.030603373,0.11724854,0.080699645,0.071142435,0.20574073,-0.07127643,0.35292214,0.124241665,0.35289136,0.009882455,-0.027009208,0.09570015,-0.119186506,-0.042333167,-0.29127204,0.1739616,-0.34526243805885315
-0.16452192,-0.11047682,-0.06036052,-0.17760943,-0.08996381,0.116444685,-0.10534827,-0.10176423,0.023853976,-0.23168705,0.13032217,-0.1254121,0.097312704,0.10625574,-0.0022157026,0.19676495,0.101462744,-0.14312562,-0.024499265,0.07064156,-0.06659277,0.060181197,-0.11221452,-0.0066658547,0.0035710582,-0.007772481,0.08485469,-0.10473761,-0.07206862,0.10366605,0.2618634,0.03278575,-0.14256883,0.017721267,-0.040397737,0.06991398,0.13294329,0.08586297,0.04766704,-0.11156061,-0.07651497,-0.020464119,-0.3288902,-0.16801773,0.06560195,0.07396432,0.3066219,-0.06807853,-0.028319601,-0.06762206,-0.041564208,-0.025183551,-0.04965772,0.08175393,-0.09249159,-0.21422611,0.018194297,0.17545785,-0.055174414,-0.057655696,0.2874442,-0.13823994,-0.1962953,0.08938175,0.25324875116348267
0.047503386,-0.15894845,-0.08677736,-0.20004053,-0.19122589,0.19183621,-0.23938462,0.056434844,-0.08071333,-0.24345942,-0.0067899995,-0.15099594,0.04359857,-0.02235075,-0.14158088,0.029044444,0.1262709,0.039084107,-0.21248986,-0.14400427,0.050373506,0.017243924,-0.030311015,-0.026013471,0.028877772,0.14135683,0.00090062484,-0.07122401,0.17805119,0.038673818,0.0016743077,0.12016402,-0.19108683,0.024334164,-0.015904116,0.025067173,-0.047105316,0.03787088,0.10071519,0.0009518135,-0.11517245,-0.25534418,-0.293648,-0.039409563,-0.167834,0.21914545,0.10688302,-0.10687931,0.11042761,-0.046601955,0.03802946,0.13779636,-0.22331789,0.16807632,-0.07134118,0.02235514,-0.11568808,-0.0861566,-0.019761875,0.038895067,-0.1561618,-0.15165448,-0.0760107,-0.07984272,-0.22105708718299866
-0.008944892,0.21632698,-0.057357572,0.020757973,0.11426766,-0.12257172,0.18073615,0.14183219,0.030684398,0.038266785,-0.16415197,-0.069600396,0.16595164,0.03400933,-0.03804697,-0.10359957,-0.006755785,-0.37697265,0.05037189,-0.072763875,-0.11131011,-0.09476019,0.09609987,-0.06618217,0.18316378,0.11241316,-0.061162286,-0.12582102,-0.30840364,0.12942208,-0.23165572,0.17223065,0.015236959,0.026946183,-0.120829545,-0.06440906,0.0817737,-0.09765549,0.18583994,-0.06732052,-0.00017876553,0.12892528,-0.11429059,-0.01098346,0.12508845,-0.08728377,-0.048307277,0.047466543,0.17501779,0.005417938,0.12095106,0.06983763,0.23849522,-0.025232561,0.2624395,0.06466441,-0.11039082,-0.0736874,0.060997285,0.06544166,-0.013869269,0.004914887,0.081748314,-0.04041642,-0.17911864817142487
-0.064594954,-0.03232194,0.20628464,-0.044776514,0.057416704,0.014311171,0.13085051,-0.15970337,0.061044544,-0.113388166,-0.05274076,0.0013954405,0.15657748,-0.10947023,-0.0385137,0.005661733,0.0036818637,-0.13086307,0.052202646,0.16865587,0.1502355,-0.04163482,-0.08202968,-0.092566736,0.027637929,-0.16959879,0.0757596,0.1284799,-0.20376332,-0.0131966695,0.048466675,0.11869668,0.0822065,-0.11743413,0.003531707,0.041978654,0.051514056,-0.2801983,-0.12987937,0.026155,-0.034581542,-0.019059757,0.17158745,0.19722104,0.07030132,0.054860406,0.06745775,0.12827693,-0.047413018,-0.07569239,-0.03413653,-0.101404354,-0.15506022,0.13223307,-0.29557824,-0.036902618,-0.32155636,0.16135766,-0.11605026,-0.16908602,0.1033822,0.027753733,0.21855415,-0.2204586,0.5022392868995667
0.09761867,-0.02240653,-0.16110724,-0.16946398,-0.105705306,0.11378016,-0.12886871,0.22804062,-0.10350198,-0.03575028,-0.08674887,0.00092445774,-0.059146043,0.019303007,-0.17564638,-0.03182052,0.07837726,0.14056812,-0.14996456,-0.2509408,-0.029971458,0.037151694,0.07371615,0.06972854,0.028618393,0.24322876,-0.12362759,0.032296464,0.2041998,0.015777238,-0.22330432,0.0013111702,-0.1428002,0.08877205,0.002955096,0.008701079,-0.17743741,0.092154786,0.13360013,0.07318318,-0.08141228,-0.17827421,-0.23775749,-0.015204619,-0.13418883,0.06506323,-0.06840524,-0.18201898,0.19006746,0.027333386,0.005061411,0.14079662,-0.12720205,0.05475567,0.10971101,0.044125427,-0.06292984,-0.22393937,0.095013246,0.1406205,-0.23903176,-0.12489892,-0.051657096,-0.017323013,-0.389963835477829
