RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16,TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.0933511,-0.0006947899,0.03469416,0.050901473,0.034737717,0.07720569,0.05379427,0.09677255,0.09465623,0.03255534,0.024948735,0.08822688,0.018329926,0.022748798,0.019302243,-0.047963474,0.098634064,0.00072406046,0.03711165,0.04922628,0.034040656,0.07560597,0.049083665,0.0991266,0.089714125,0.037458397,0.023905616,0.08907082,0.020191474,0.021901678,0.020812957,-0.04688912
0.16231894,0.016416814,0.084162146,0.09642647,0.06806339,0.107826896,0.06312121,0.09398228,0.10518286,0.043639608,0.0676649,0.04989886,0.05036668,-0.00109609,0.017327884,-0.05079053,0.15300472,0.011927786,0.082846634,0.102258176,0.07668983,0.11210399,0.06393986,0.09693256,0.11074913,0.03705413,0.063903384,0.04987937,0.042395785,0.0017139356,0.02186377,-0.052850872
0.20525935,-0.020159783,0.09582334,0.14313093,0.09739282,0.13694635,0.069976725,0.12099672,0.12649272,0.031700287,0.07028357,0.009776268,0.03983008,-0.053098105,0.004583942,-0.08474717,0.20125178,-0.021619245,0.1019778,0.1486759,0.09608166,0.13902617,0.06633919,0.1163013,0.12396739,0.030943202,0.072575726,0.013669061,0.039234716,-0.04787982,0.004170211,-0.0917806
0.23356628,-0.055416457,0.12981856,0.17716639,0.0863253,0.16095191,0.059957135,0.14400485,0.13764164,0.020646017,0.08241223,-0.028109781,0.024416298,-0.10250218,-0.024896925,-0.13019954,0.23280601,-0.051597577,0.13325472,0.17757161,0.093278594,0.15979172,0.06577442,0.13968426,0.13659683,0.016838484,0.08398091,-0.029646695,0.029251214,-0.10830227,-0.029257111,-0.13110507
0.23230849,-0.060844906,0.13339932,0.19766659,0.10387062,0.1823456,0.07610115,0.15313816,0.135201,0.019108986,0.083480485,-0.05794094,0.023822295,-0.1394734,-0.056928206,-0.1610653,0.23403068,-0.06509885,0.13951804,0.19532968,0.099379785,0.1783236,0.06904953,0.1518487,0.1369905,0.021898262,0.09088988,-0.05595593,0.01834511,-0.13808286,-0.049085982,-0.1560216
0.2221164,-0.14792266,0.1597962,0.2131214,0.14066334,0.23388258,0.0769931,0.16144828,0.115932435,0.007663214,0.07625137,-0.074822776,0.025188696,-0.19808066,-0.021027878,-0.20455681,0.21692982,-0.14476699,0.1634135,0.21555927,0.14316887,0.23253307,0.07002424,0.1715304,0.11093137,0.0014648512,0.08182605,-0.07416499,0.024390735,-0.1935691,-0.021039639,-0.20201397
0.23107979,-0.1874444,0.18777932,0.21328273,0.14672342,0.23382998,0.054092538,0.19455634,0.086809404,-0.021003574,0.061410315,-0.069566436,0.025706064,-0.22284052,-0.0061033573,-0.24621232,0.23466611,-0.18913549,0.18584341,0.20545352,0.14451957,0.23573115,0.056604445,0.18763292,0.08765538,-0.015414283,0.06766277,-0.07255447,0.026556,-0.22678459,-0.003553722,-0.24577045
0.1713475,-0.26308733,0.2043799,0.21504802,0.1974807,0.2526794,0.033590876,0.23585172,0.074095525,-0.040168274,0.052371755,-0.041649085,0.0451464,-0.26125494,0.056442425,-0.3141222,0.17069393,-0.26720345,0.20997953,0.20602107,0.20610213,0.25458592,0.03168796,0.23446143,0.07531351,-0.035685927,0.048847537,-0.04423839,0.041083828,-0.25462568,0.060411334,-0.31734133
0.11970316,-0.3105207,0.20250711,0.20547077,0.25701922,0.28640592,0.023493668,0.25642928,0.06633414,-0.060668122,0.017552027,-0.012672454,0.05701092,-0.28676838,0.11272963,-0.37036014,0.11078119,-0.3068453,0.2083565,0.2058729,0.2521587,0.29896116,0.025907524,0.25127208,0.06605315,-0.060828507,0.023477718,-0.010055244,0.04825169,-0.2831533,0.11413479,-0.37543774
