RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16,TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16
0.043241236,-0.046888504,0.097513646,0.038082372,0.030302022,0.118033245,0.084329516,0.09746529,-0.001484883,0.02574584,-0.0074493373,0.0997066,0.023040995,0.02580183,0.10045014,-0.14412111,0.043241236,-0.046888504,0.097513646,0.038082372,0.030302022,0.118033245,0.084329516,0.09746529,-0.001484883,0.02574584,-0.0074493373,0.0997066,0.023040995,0.02580183,0.10045014,-0.14412111
0.14248204,-0.09406288,0.25301436,0.11264321,0.13590407,0.21506508,0.13354711,0.21859606,0.05573544,0.040875494,0.020703971,0.16809405,0.09493929,-0.038470272,0.21523859,-0.29929623,0.14247395,-0.09410323,0.2529075,0.11121334,0.13633159,0.21468654,0.13098586,0.21776012,0.052970365,0.045900643,0.022816293,0.16854036,0.09618795,-0.036976516,0.2174356,-0.29844427
0.11651001,-0.20673338,0.25563988,0.118295364,0.20761146,0.2539612,0.073928215,0.27518412,0.069906645,0.010555815,0.015811803,0.15732636,0.053406224,-0.1327778,0.23076318,-0.38598,0.12168996,-0.20091093,0.25971603,0.12183839,0.21258485,0.24749994,0.076242715,0.27009177,0.069863126,0.014853835,0.014296755,0.15554719,0.06757072,-0.13017714,0.23451126,-0.3851695
0.074994095,-0.27543545,0.23743986,0.15562344,0.31517306,0.2816247,0.034003574,0.28360352,0.096775346,-0.047489688,0.013310777,0.1293628,0.065799505,-0.23009865,0.25908723,-0.42542684,0.07586828,-0.27203846,0.23613214,0.15523404,0.3132146,0.28221893,0.030431496,0.28231072,0.09636177,-0.047072917,0.009735569,0.13467202,0.06505679,-0.22655854,0.2625754,-0.42489338
0.04704428,-0.29939556,0.23023635,0.15329584,0.33847702,0.2934016,0.0032762291,0.27073288,0.11666572,-0.087160215,0.01503391,0.11365504,0.083813265,-0.2756376,0.28605664,-0.45515087,0.041372754,-0.30078375,0.23003268,0.16152167,0.3450805,0.2902751,0.00015706569,0.27960014,0.11343975,-0.08713163,0.008543253,0.115178436,0.08266781,-0.2704183,0.27961135,-0.45432472
0.022892028,-0.30397692,0.20691675,0.14827615,0.35361448,0.30828592,0.0068296976,0.2786638,0.12848078,-0.095843166,0.004643311,0.08971997,0.05987961,-0.28422552,0.286899,-0.49120525,0.03067097,-0.30439472,0.21656322,0.16480184,0.35510874,0.30321097,-0.001900997,0.27654505,0.12850091,-0.10261586,0.010366499,0.09238589,0.062095523,-0.28020298,0.2861128,-0.48340034
0.0053408146,-0.30745596,0.21317469,0.17209417,0.37363285,0.2977551,0.010581553,0.26439643,0.114259385,-0.11405651,0.020210795,0.084078275,0.06771526,-0.2879908,0.30414382,-0.49518147,0.008021295,-0.3036518,0.21354389,0.17091155,0.36836314,0.30125475,0.0066655874,0.26670432,0.1183489,-0.114580214,0.013142884,0.08213818,0.059216976,-0.29257083,0.30291557,-0.49578
0.0003218581,-0.30638066,0.22085582,0.17655604,0.36693382,0.29932016,0.008260986,0.27267078,0.12360881,-0.12590356,0.008367682,0.073812924,0.05079461,-0.2985553,0.30771947,-0.49623156,0.0055363774,-0.3041234,0.21731949,0.17531013,0.37102818,0.29592037,0.007679075,0.2709062,0.11611223,-0.12566936,0.01445806,0.07687712,0.05493754,-0.30022764,0.30493355,-0.49933243
-0.008016152,-0.29274902,0.22062881,0.17716345,0.36673394,0.2966394,0.00828686,0.2791005,0.11617396,-0.13104908,0.024828387,0.07245194,0.048043314,-0.30361593,0.31309265,-0.5033777,0.0037988424,-0.29945612,0.21700048,0.1796596,0.37152886,0.2954631,0.0066566467,0.2721634,0.12199688,-0.13134533,0.017158866,0.07153773,0.052663445,-0.30292782,0.30868626,-0.5040798
0.00044881663,-0.30286887,0.20796447,0.17654233,0.3774424,0.29628623,0.012709712,0.2753514,0.12419874,-0.13005158,0.03322664,0.06637302,0.053443067,-0.30498612,0.30345607,-0.5104428,0.00060522556,-0.3011458,0.21362829,0.18079925,0.37348843,0.29781342,0.008609831,0.27027726,0.12553024,-0.13296366,0.01636517,0.06773567,0.05293107,-0.30461746,0.31043148,-0.50675964
