dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,Value
0.17337762,-0.050290015,-0.122693345,0.11134542,0.12908557,0.5146688,0.33731496,0.08078616,0.172025,0.23196183,-0.043647423,0.5863197,0.17371652,0.06399485,-0.099688075,0.25459707,0.09110131114721298
0.37723687,0.007519012,0.12525043,0.2793645,0.07469691,0.40898556,0.49077496,0.25109464,0.03374822,0.33588627,0.03909627,0.35093653,-0.09419253,-0.028285723,0.09109604,-0.17473392,0.3887450695037842
0.43796426,-0.16315633,0.018462399,0.18538764,0.09955719,0.48459563,0.33976918,0.2705044,0.15752767,0.23164406,-0.06144696,0.30731788,0.10007099,-0.29474676,-0.18715931,-0.069894284,0.4164404273033142
0.32697222,0.07275292,0.06376274,0.2061438,-0.025595402,0.4736051,0.42036533,0.24474052,0.07305124,0.39656425,-0.0393095,0.3072881,-0.14917427,0.22314474,0.07549825,-0.20822117,0.248441681265831
0.25355935,0.07343167,-0.28005624,0.26511696,0.36148208,0.40631467,0.0029899261,0.15099289,0.40348065,0.31214547,0.026159534,0.38541168,-0.016654523,0.22492276,0.02572489,0.04517701,0.22940346598625183
0.46250728,0.101633005,0.11705102,0.12321894,-0.027010905,0.37429863,0.3287679,0.17692362,0.03095566,0.43164265,-0.063259564,0.25484952,-0.08506873,0.43119013,0.12984687,0.020222992,0.0068800984881818295
0.55811805,0.13856624,0.23744567,0.24738464,0.04623852,0.18960465,0.3007469,0.32872242,0.39655945,0.20769663,0.114537776,0.18452209,-0.13780014,-0.13963053,0.022286244,-0.16906245,0.3708080053329468
0.5454683,-0.07792695,0.18949254,0.2226017,-0.01914971,0.51508564,0.21651407,0.28830826,0.2824456,0.09433423,0.07497001,0.2827496,0.12300032,-0.022821974,-0.05757053,-0.14848013,0.43315932154655457
0.37951076,0.24519281,0.11291846,-0.03129044,-0.14126772,0.05433872,0.1055347,0.38291,0.5067204,0.033329934,0.117068306,0.36171544,0.076789275,0.38130665,0.214598,-0.041136578,0.06416482478380203
0.3881264,0.25573605,0.1433171,0.21676515,0.037640795,0.1302083,0.47633073,0.32297146,0.25004128,0.2125596,-0.017761681,0.35479277,-0.11508565,0.15040332,0.24346808,-0.19447199,0.2760797441005707
0.4111528,-0.06282898,0.15559672,0.4034315,0.2637591,0.37197304,0.45188543,0.2905726,0.14334586,0.20962308,0.117495276,0.10590937,-0.013321276,-0.13110374,-0.06697118,-0.17919302,0.5202702283859253
0.4667473,0.00017797617,0.037619147,0.2785273,0.17200309,0.45182505,0.4070049,0.28988186,0.24133523,0.15045837,0.12234505,0.31714168,0.13949528,0.01630312,0.019223176,-0.0567183,0.40489867329597473
0.47632793,0.008599328,0.12433234,0.3824533,0.31290957,0.30381656,0.24336338,0.31687188,0.3687852,0.12292634,0.18521331,0.08156362,0.049174238,-0.12606375,0.034487225,-0.2233579,0.5950196385383606
