dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,Value
0.06874791,0.14924891,0.048615295,0.29253414,0.07706473,0.2243833,0.27375594,-0.14091021,0.12556662,0.23682141,-0.014278171,0.2667359,0.17640136,-0.0026864717,0.24021727,0.04491021,-0.089764096,0.43265986,0.05823613,0.19888902,0.18713911,-0.020698618,0.12884216,-0.009380682,0.025208471,-0.09932266,-0.046615288,0.09948255,0.2637716,0.17442216,0.033990823,-0.29302302,-0.09509957581758499
0.08476178,0.19002958,-0.013535412,0.33584738,0.049489345,0.20836438,0.22694805,-0.0021009916,0.048972897,0.2517582,0.060265332,0.1715,0.10063632,0.09215425,0.2605834,-0.06289478,-0.05122068,0.40244856,0.028196834,0.14635274,0.26307017,0.010923045,0.14000873,-0.05910999,-0.08777742,0.03790965,0.06859021,0.07162465,0.31525418,0.23060752,-0.022206653,-0.32525277,-0.08898897469043732
0.14752772,0.04382582,-0.015045694,0.3286979,0.009392611,0.24068956,0.23965773,-0.028171277,0.057364225,0.23723625,-0.03301745,0.18220066,0.27295202,-0.03901147,0.21338463,-0.07234726,-0.18292259,0.38461962,-0.002080354,0.14451346,0.30195922,0.16738954,0.12200671,-0.049281463,-0.09942773,-0.06614124,-0.0054331385,0.01136808,0.34579358,0.17109622,0.113314964,-0.12745716,0.058112844824790955
0.074458815,0.20620675,-0.027301207,0.25991812,0.06585694,0.20132437,0.21847804,-0.00080913276,0.10050922,0.16725421,-0.01991619,0.15631072,0.10405613,0.12252088,0.2089947,-0.060044996,-0.13958912,0.4905932,-0.033760294,0.24679314,0.23699878,-0.03794484,0.124651186,-0.033308882,-0.030985737,0.007444741,0.10202094,0.0054431483,0.30550742,0.17598069,0.04016714,-0.34808204,-0.18683204054832458
0.11803974,0.17722638,-0.1089259,0.35042766,0.16416153,0.24113521,0.1794557,-0.024469621,0.066903435,0.1723141,0.008819515,0.18125547,0.15880173,0.110219084,0.26597276,-0.07316315,-0.16902226,0.39206183,-0.10973228,0.120109394,0.22602728,0.1554297,0.17572962,-0.07424153,-0.08526322,0.008525774,0.10017896,0.07395186,0.25031626,0.2409614,0.036065247,-0.23723023,0.050887711346149445
0.0929063,0.21865994,-0.042272624,0.29451093,0.1265867,0.17763734,0.2775718,-0.037341464,0.020757586,0.21986187,-0.07056024,0.11605971,0.08394656,0.15574102,0.3142502,-0.039261706,-0.13679558,0.42696434,-0.039350312,0.20125368,0.26389244,0.038684905,0.089719154,-0.046297174,-0.049624424,0.023994274,0.03891752,0.03610977,0.29023314,0.18064377,0.04053095,-0.28537425,-0.11251980066299438
0.046359964,0.26098794,0.062425345,0.2943864,0.052317612,0.21860786,0.2496411,-0.0289232,0.126588,0.1911114,0.040277872,0.19064064,0.07683058,0.013932961,0.24991095,-0.07073723,-0.17733622,0.35510895,0.046000037,0.1174531,0.3055436,0.009035206,0.18725687,-0.11048585,-0.07816692,0.17472675,-0.024024732,-0.065712616,0.2702485,0.14715827,0.0055130357,-0.33315757,-0.17291611433029175
0.11706435,0.17091717,0.01961715,0.3267706,0.089288995,0.2868395,0.22613591,-0.052607328,0.09132999,0.22038071,0.0059666205,0.20550708,0.2073596,0.03708501,0.25686952,-0.094097115,-0.21523045,0.3166049,-0.09081482,0.09198661,0.26917088,0.11427081,0.12003991,-0.09730211,-0.04751781,0.076785445,0.010101315,0.031757127,0.31080595,0.2455681,0.044611637,-0.21577634,0.01960788480937481
0.060684863,0.27418286,-0.06316209,0.23524608,0.09492543,0.2156747,0.20976369,0.005402949,0.07650343,0.17551023,0.004114453,0.1689216,0.09350409,0.09717343,0.26973754,-0.07120374,-0.17644653,0.3980015,0.052945428,0.1632657,0.24383812,0.047988925,0.13318397,-0.0039493213,-0.07285741,0.07128559,-0.022328813,0.062491532,0.31853494,0.2284692,0.0054377276,-0.36610883,-0.1781030148267746
0.084388986,0.20949703,0.024043303,0.3409744,0.102922335,0.2089704,0.2560758,0.030524159,0.060709678,0.16196123,-0.03824247,0.15290825,0.08464036,0.078630134,0.31268653,-0.09208122,-0.15854298,0.3932964,-0.0749646,0.15367948,0.25349605,0.022967005,-0.014977954,-0.04179772,-0.033834476,0.085568085,-0.014072218,0.1019738,0.22657472,0.16278291,-0.05202469,-0.4019978,-0.1071477085351944
0.023219362,-0.37676582,-0.15390283,0.050604925,0.01397828,-0.08582079,-0.030725477,-0.028594479,-0.1284909,-0.10387153,0.103825,-0.16850461,0.066589065,-0.023309339,-0.09446311,-0.0721492,0.03353181,-0.26318982,-0.1564362,-0.33464772,0.021532161,0.09653376,-0.10970326,0.010582181,0.051901657,-0.27706817,-0.09572744,0.2310885,0.022689927,-3.80666e-05,0.23876828,0.55499995,0.4720114469528198
0.13354972,-0.40536404,-0.35138223,0.034050167,-0.08924591,0.07429926,0.079060964,-0.040535048,-0.17734718,-0.07463827,0.15808655,-0.05308154,0.2317647,-0.035268296,-0.132284,-0.011750176,0.08900579,-0.28222197,-0.27763885,-0.23041204,0.0074806865,-0.025901357,-0.03359459,-0.011767575,0.046646383,-0.20406541,-0.07027573,0.11904743,-0.07318632,0.009808597,0.14688347,0.4740399,0.5048412084579468
0.010251485,-0.35022774,-0.2705908,-0.05177033,0.021995284,-0.1107021,-0.14719334,-0.15330644,-0.10166043,-0.24268499,0.12209716,-0.18148366,0.10973489,-0.10122044,-0.10865824,-0.09398981,-0.10664665,-0.23368841,-0.19244361,-0.240222,0.028648894,0.10456245,-0.14249723,-0.059635572,0.1454253,-0.13878784,-0.16890183,0.08048914,0.17195044,-0.12335826,0.01365058,0.5164274,0.25486403703689575
0.048789904,-0.447234,-0.14766496,0.007021177,-0.04548043,-0.01972746,-0.17474234,-0.1447049,-0.12474179,-0.013445279,0.018556183,0.06161733,-0.015771866,-0.020200303,-0.10271019,-0.02755665,0.02538386,-0.121739715,-0.1330691,-0.40740928,0.032470364,0.2119772,-0.119376995,-0.020213969,0.055140793,-0.22444259,-0.13293654,0.012556408,0.021107506,0.003019807,0.21954922,0.5570127,0.40464723110198975
0.057542536,-0.38910475,-0.20087902,-0.014895224,-0.012094453,-0.092617884,-0.16720837,-0.0942895,-0.14003196,-0.050640345,0.006199147,-0.18333164,0.056678724,-0.14299619,-0.15120526,-0.11397211,0.019972682,-0.21151751,-0.13780355,-0.34663022,-0.067129545,0.16980997,-0.08377097,0.030002996,-0.010671898,-0.28308725,-0.123277344,0.10898619,-0.02645906,0.063929275,0.1302835,0.53774935,0.5337786674499512
0.10347396,-0.5628298,-0.17540191,-0.013747423,-0.09042596,-0.07075069,0.0006966412,-0.07670732,-0.16798413,-0.0031457937,0.09341801,-0.15127973,0.06682091,-0.085295215,-0.05721291,-0.08769933,0.10682886,-0.22373043,-0.15639338,-0.33455107,0.020752465,0.17575683,-0.09488357,-0.19899197,0.20294252,-0.09574626,-0.008509834,0.029309576,-0.18926999,0.1456665,0.02021469,0.39171448,0.5845832824707031
0.164463,-0.44589242,-0.39348075,0.097116455,-0.056661207,-0.0069597685,-0.1019582,-0.028215632,-0.27961388,-0.08062688,0.24927473,-0.08624417,0.06374462,-0.13793017,-0.056452386,-0.051984075,0.00228287,-0.08403034,-0.29200253,-0.32386744,0.04239571,0.17589656,-0.031283688,-0.08345505,0.08344248,-0.16764997,-0.07062272,0.104712285,-0.1050331,0.033720158,0.044309225,0.33034632,0.5509275197982788
0.16079356,-0.43355462,-0.21655567,0.050547585,-0.08669052,-0.007884373,-0.013567293,-0.06430599,-0.15483598,-0.06266499,0.1260045,-0.15882877,0.04393955,-0.073784575,-0.14141282,-0.13158911,-0.034927484,-0.14813894,-0.18246411,-0.3247361,0.098393075,0.12570944,-0.10706639,-0.16303268,0.15074292,-0.20404823,-0.16104162,0.092604645,-0.07479308,0.10554028,0.07943424,0.5135994,0.5034416317939758
-0.021177804,-0.43555957,-0.20621446,-0.045920618,-0.04734539,0.1132081,-0.08054969,-0.13553911,-0.08336414,-0.17640382,0.06556367,-0.3078688,0.05054563,0.0540721,-0.19426203,-0.062359635,-0.079141006,-0.09672125,-0.22959621,-0.35413283,0.02835214,0.19824919,-0.1293252,-0.00930663,-0.022390578,-0.13594173,-0.10613725,-0.0011563125,0.018246781,0.050851077,0.059280515,0.50367934,0.3965193033218384
0.14104773,-0.40985742,-0.15922208,0.06269637,-0.16150391,-0.059714485,-0.08241206,-0.18498035,-0.029678702,-0.00441611,0.11261359,-0.12626119,0.07736188,-0.14328417,-0.14484857,-0.06854786,0.08800887,-0.3250736,-0.21516739,-0.060505852,-0.060396846,0.11343545,-0.16044815,0.08413549,-0.0315531,-0.35260615,0.07416093,0.0062113963,-0.0008321454,-0.0046311948,0.23539889,0.48109037,0.44288748502731323
0.10704105,-0.2616331,-0.15681335,0.14818321,0.07317293,0.08349979,0.039099038,-0.08405043,-0.13553545,-0.06633346,0.09184427,-0.082653716,0.1958099,0.025769481,0.108525425,-0.11532642,-0.14048444,-0.15402532,-0.30708036,-0.3418155,0.08300732,-0.057497006,-0.1093746,0.0449056,0.09552209,-0.3031926,-0.09655469,0.027464397,-0.18702854,0.18079238,0.17407101,0.51248074,0.5870282649993896
0.1318057,-0.3795074,-0.13632464,0.13080887,-0.09801115,0.048270553,0.09468539,-0.06618943,-0.013153275,-0.04476797,0.15827248,0.0956454,0.14389555,-0.13993639,0.039185576,-0.15708137,-0.154579,-0.19133973,-0.16215535,-0.3986692,0.1472865,0.13583279,-0.06828527,-0.15947308,-0.0304281,-0.1853003,-0.18936801,0.015481074,-0.013320846,0.18915747,0.12472415,0.4856937,0.5278140902519226
0.081888415,-0.41929275,-0.24712001,0.09409065,0.033511315,0.06802501,0.01198201,-0.03868158,-0.12610042,-0.03753431,0.20815806,-0.087291956,0.09096955,-0.064731725,-0.044000145,-0.06041531,-0.12273201,-0.067011185,-0.2438162,-0.3756628,0.032381315,0.2092832,-0.00059076893,-0.1502299,0.033670537,-0.2168201,-0.17734204,0.028874569,-0.012637276,0.16918835,0.09304934,0.4984514,0.5592844486236572
0.081266366,-0.3987098,-0.13567704,0.0011608333,0.040258188,0.02528134,-0.02327504,0.012782924,-0.16573101,-0.025774127,-0.009715338,-0.2222968,0.16070426,-0.13573977,0.03350695,-0.10247021,-0.006492899,-0.28061682,-0.1326004,-0.3776381,0.011735811,0.23926446,-0.019219434,-0.061617643,0.04778846,-0.25894657,-0.12112056,0.05255024,0.014767852,0.029026346,0.13396043,0.5227128,0.6065945029258728
0.050075967,-0.40466496,-0.2918987,0.08772504,-0.11213987,0.13119608,-0.025187397,-0.10266866,-0.18408364,-0.09149242,0.14663894,-0.048288833,0.20787114,-0.1752356,-0.0047515887,-0.14602935,-0.05501662,0.04621215,-0.1934848,-0.27602315,0.012645076,0.22032076,-0.09102306,0.042347964,-0.02657324,-0.19948344,-0.1987179,0.027411476,0.075684905,0.09319773,0.11643238,0.50223494,0.46724367141723633
0.1066333,-0.21813515,-0.21843384,0.079586454,0.016929846,-0.056514863,0.062995136,-0.19466342,-0.00862554,-0.08452515,0.07414606,-0.09332825,0.1586484,-0.13221686,0.050133094,-0.09573635,-0.06864386,-0.16846558,-0.17432924,-0.43443426,-0.010370435,0.1277288,-0.046898287,0.025143918,0.0070777,-0.24086617,-0.13366415,0.102895774,-0.06567175,0.14209776,0.18923175,0.5895732,0.6072357296943665
-0.006329895,-0.2904245,-0.29415745,0.092582345,-0.04129273,0.116730966,0.09150688,-0.025199514,-0.1013282,-0.058702666,0.2696211,-0.14028081,0.20852397,-0.13521644,0.0076624025,-0.043309953,-0.057327904,-0.09631937,-0.30135936,-0.25698563,0.111334294,0.07968298,0.014381396,-0.06860052,-0.004836943,-0.2184295,-0.08969415,-0.0006098275,-0.02585905,0.09669137,0.1768446,0.57985604,0.5065475702285767
0.0884026,-0.4100314,-0.11591917,0.18266918,-0.025746558,-0.030215079,0.005493894,-0.13714626,-0.008163455,0.032636557,0.089218065,-0.088766955,0.16847672,-0.13430613,0.18335222,-0.04761935,-0.0025086878,-0.133396,-0.26601645,-0.26382133,0.06963802,0.08869158,-0.071457766,0.08606389,0.008150362,-0.3846991,-0.055362113,0.07872546,-0.06469299,0.13052726,0.26830328,0.47289717,0.6333124041557312
0.17569356,-0.29999807,-0.21702701,0.24388991,0.10684634,0.04604371,0.009252724,-0.24680226,-0.1279069,-0.023510942,0.10634818,0.07308046,0.18407054,0.012992641,0.14465596,-0.040985055,-0.058986526,-0.14590026,-0.1712157,-0.2758002,0.051323924,0.17773773,0.0011309535,-0.089635804,0.0903468,-0.41393304,-0.029606238,0.18131404,-0.066125385,0.17650382,0.18228225,0.3916406,0.5986198782920837
0.050175853,-0.388216,-0.21913728,0.17395109,-0.083513096,0.12116454,0.027992748,-0.027813893,-0.17948616,-0.008958226,0.18579441,-0.07611884,0.16190931,-0.037399992,-0.04979582,-0.10132247,-0.022605384,-0.0048319735,-0.28632206,-0.41009367,-0.030740561,0.33184117,0.005702273,-0.044894617,0.07034273,-0.18215376,-0.06178581,-0.006946672,-0.08241174,0.3248147,0.024534909,0.33706763,0.7013232707977295
0.08198583,-0.44136697,-0.1746809,0.1203194,-0.16651653,0.013650003,-0.014410514,-0.1115934,-0.09477428,0.033711568,0.040091652,-0.080289856,0.11610766,0.087910235,0.14902006,-0.094648875,-0.08494602,-0.058823522,-0.23542845,-0.32543972,0.0034014669,0.20463134,-0.06666301,0.053370483,0.015045648,-0.26130673,0.02075405,0.16232754,-0.0071217534,0.09733562,0.1698959,0.5361826,0.5650945901870728
0.04117464,-0.28308636,-0.07496849,0.27068338,-0.052152764,0.07358135,0.027817,-0.21501167,-0.11935101,-0.057545956,0.1550583,-0.1035946,0.23947053,-0.17869736,-0.11336996,-0.10555278,-0.063780986,-0.072592564,-0.18828622,-0.42431542,0.0036154625,0.19246165,0.064405814,0.06622952,-0.10238875,-0.18508479,-0.1574273,-0.03374114,0.0054755174,0.17963056,0.14217213,0.47427958,0.6575981378555298
0.06783179,-0.29059932,-0.08023203,0.20864071,0.15909547,0.040233783,0.115343876,-0.046681877,-0.0724178,-0.105593584,0.107984185,-0.09385868,0.09166432,-0.18913892,0.084798776,-0.24870214,-0.052985765,-0.24150667,-0.14895996,-0.25476465,0.16273114,0.07284651,0.0122311,-0.11316072,0.105471395,-0.36276227,-0.019153062,0.005205349,-0.08515706,0.3406559,0.16666181,0.42582446,0.6320600509643555
0.0014439898,-0.3574334,-0.11411399,0.11359252,-0.0339259,-0.03988344,0.03991486,-0.17768201,-0.11748522,-0.12553447,0.1809622,-0.17723545,0.11929531,-0.29675126,-0.01091767,0.022454983,-0.028380763,-0.22545627,-0.23708297,-0.31363258,0.0077931094,0.061235253,-0.040491417,0.018324172,0.043349475,-0.2703576,-0.10627977,-0.011481441,-0.17148197,0.26503882,0.018745221,0.4640824,0.6524999141693115
0.069288924,-0.31898272,-0.25343454,0.045475725,0.03137681,-0.051239375,0.054548327,-0.083012,-0.02066359,-0.112164825,0.059630774,-0.23772644,0.2357773,-0.013489338,0.0409765,-0.10867622,-0.23189555,-0.14691348,-0.26546705,-0.24541855,0.023581387,0.10310998,0.13936783,0.08477495,0.06864579,-0.37107366,-0.042623978,0.14336284,-0.092879675,-0.01045523,0.15543231,0.47937727,0.5952945351600647
0.09631626,-0.17191961,-0.124820955,0.25074345,0.011050799,0.03625955,0.16641353,-0.126225,0.0214076,0.056877296,0.047463752,-0.033583708,0.31586054,-0.16088513,-0.012790993,0.007999361,-0.19261792,-0.25200975,-0.38814375,-0.21159013,-0.02275401,0.048435833,-0.12369144,-0.18302786,0.14012422,-0.31658342,-0.11023417,-0.034817237,-0.18304542,0.18547295,0.12775342,0.3735615,0.6457659006118774
0.22086012,-0.25218403,-0.10933819,0.09678603,0.094070055,-0.018012078,-0.054430317,-0.17805856,-0.15026096,0.057624977,0.14853376,-0.145425,0.21249494,-0.3113207,0.04389581,0.03983514,0.02570819,-0.09763747,-0.44200057,-0.2944248,-0.07249625,0.18643962,-0.036007762,0.013387232,0.078491226,-0.24178009,-0.032064997,0.1163312,-0.092598125,0.087671526,0.16831595,0.38762903,0.7183800935745239
0.13042903,-0.33147323,-0.1226773,0.22498687,-0.07576441,0.0393572,-0.024949376,-0.1416472,-0.032188453,-0.027549228,0.054194078,-0.10495973,0.24517024,-0.25783542,0.046384934,-0.097463354,-0.07082402,-0.2801222,-0.2805956,-0.40927532,0.096906886,-0.010823592,-0.021319503,-0.10810182,0.024952102,-0.1631247,-0.073699445,0.02589981,-0.122056834,0.14766102,0.16432303,0.42079794,0.6931507587432861
0.116382726,-0.34223056,-0.061626364,0.25189403,0.046976175,0.0021192771,0.021857036,-0.11987221,-0.14208503,-0.06514038,0.025112016,-0.0522831,0.24048781,-0.019861953,0.059224386,-0.10970813,-0.13683258,-0.20460278,-0.25175035,-0.3621572,0.06722599,0.18703115,-0.023051366,0.0068632644,-0.10860975,-0.26729277,-0.055834178,0.16409615,0.0017092219,0.16854036,0.16201349,0.46937737,0.6724564433097839
0.10326448,-0.24913155,-0.25831294,0.02783365,-0.05487765,0.081832945,0.01669699,-0.025100637,-0.1388348,-0.049908563,0.153809,-0.04018589,0.25595635,-0.23561302,-0.049549695,-0.099671766,-0.040280964,-0.1293543,-0.29717237,-0.45603973,-0.01909393,0.15157534,0.054963887,-0.08409384,0.0038800258,-0.28121722,-0.037930544,-0.057737436,-0.018414482,0.18623896,0.06987162,0.4436778,0.679439902305603
0.08894254,-0.22004585,-0.14849313,0.18464012,0.06800888,0.061632283,0.11411866,0.034276728,-0.07605708,0.08777433,-0.033062518,-0.2753966,0.15271859,-0.23367871,0.010126723,-0.03470887,-0.07304471,0.04644484,-0.3722046,-0.5018957,-0.06714509,0.21027504,0.11436396,-0.0738555,0.091592066,-0.087107405,0.011978561,0.09189407,-0.17518397,0.30092487,-0.07147685,0.28131634,0.8671559691429138
0.06434933,-0.36714372,-0.19658104,0.22616544,-0.11336305,0.1090832,0.026332544,-0.115979284,0.031353407,0.20178354,0.18963648,-0.07495024,0.12041729,-0.19788687,-0.05744001,-0.084741764,0.03805304,0.07485633,-0.14987823,-0.40924144,-0.0383962,0.2342139,0.09338708,0.09829161,-0.050653808,-0.25806206,0.026081547,0.057054494,-0.032686718,0.37060928,0.12749563,0.29236457,0.73255854845047
0.14127767,-0.3194041,-0.07092092,0.08800238,-0.03126677,0.0112404805,0.20807348,-0.33176234,-0.010988817,-0.15415625,0.088797905,-0.041467536,0.15045802,-0.09354235,0.076212816,-0.11285873,-0.1839604,-0.2352373,-0.2589842,-0.19648819,-0.07427847,-0.0282665,-0.015617584,0.00011654074,-0.08283514,-0.4068303,-0.076142676,0.28141466,-0.02440498,0.1257387,0.051551413,0.38666958,0.5265090465545654
0.20743927,-0.240497,-0.3876587,0.31743115,-0.098208666,-0.0009235961,0.009164249,0.100246765,-0.12298816,0.010316746,0.055871863,-0.30884176,0.11496414,-0.16131882,-0.010140789,-0.049432147,0.0015943008,-0.09871764,-0.26986146,-0.4382896,0.00745226,0.15791905,-0.010440519,-0.14025462,-0.050478853,-0.11449053,-0.11674275,-0.050520252,-0.16510639,0.09745336,-0.053124603,0.2862219,0.7270168662071228
0.11043771,-0.33854228,-0.16379672,0.12537722,0.030331206,0.09561731,0.019689856,-0.007869545,-0.25812218,-0.025336094,0.05199731,-0.27695122,0.21606913,-0.21133791,0.117809266,-0.0046632173,0.01947437,-0.085083716,-0.29297474,-0.41314542,0.057705674,0.17867266,0.01627741,-0.009000863,-0.020061918,-0.26603454,-0.061170734,0.07288802,-0.057720155,0.18559903,0.10401408,0.37367898,0.7555170059204102
0.05166445,-0.15528439,0.0023063202,0.20193854,-0.09794382,0.060813583,-0.025684813,-0.10812922,0.0596428,-0.15427586,0.11082442,-0.2528335,0.29590312,-0.23960342,0.09737289,0.05065952,-0.018109664,-0.31105918,-0.2520147,-0.37731263,0.04416275,0.03788544,0.1145788,-0.14400102,0.09745018,-0.17516828,0.15217961,0.07737372,-0.21995035,0.11859467,0.048593655,0.41456783,0.7037716507911682
0.13451669,-0.47196332,0.00076996896,0.1554887,-0.059471898,-0.047512826,0.08041048,-0.19378972,-0.0018660802,0.0067604957,0.10583592,-0.06342796,0.07372912,-0.16344868,-0.012453344,-0.072048284,-0.07423071,-0.31661743,-0.20574166,-0.28504205,0.026921466,0.15227497,-0.03713618,-0.014160811,-0.0032887622,-0.31266868,-0.08049388,0.14695394,0.008620224,0.27230832,0.13808078,0.39802736,0.6505065560340881
0.15551499,-0.2461611,-0.18068261,0.22044615,0.036293488,0.11557731,0.17756657,-0.103882544,-0.035572898,-0.06990153,0.07345826,-0.07122338,0.28589863,-0.121894695,-0.07204788,-0.27238557,-0.026851682,-0.16541085,-0.30179211,-0.41853082,0.027760752,0.23380242,0.06861626,-0.019136855,0.05652419,-0.21766295,0.07008682,0.029718779,-0.114828974,0.27161035,0.12982093,0.2633683,0.8074066638946533
