TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16,RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.14730509,-0.020132536,0.039027955,0.10840825,0.042334337,0.12823656,0.099471815,0.10038494,0.08061271,0.043168742,0.02038226,0.058661833,-0.009215268,-0.12142397,-0.02231114,-0.09643938,0.14741665,-0.024632549,0.040935293,0.10706246,0.04342626,0.124364085,0.097066775,0.09998785,0.08132523,0.04282885,0.023185369,0.06599803,-0.008314759,-0.1196033,-0.025918018,-0.09559891
0.20056945,-0.06944487,0.07619212,0.2026617,0.1639001,0.17414506,0.12088694,0.14624594,0.10668006,0.018311141,0.09005256,0.0010482903,0.017038051,-0.16816947,-0.011864917,-0.15257473,0.2029132,-0.07645296,0.07954427,0.20602447,0.16633245,0.16444394,0.11557782,0.1444717,0.102816515,0.027149232,0.08846348,0.0027948543,0.018189449,-0.16846028,-0.010656845,-0.1605342
0.17872593,-0.14041632,0.07764364,0.25353935,0.23366505,0.21329576,0.120061085,0.19257843,0.1260196,-0.034310523,0.076703586,-0.038566586,0.0057449453,-0.25870383,0.031141076,-0.22062585,0.17449392,-0.14655945,0.080207035,0.24861625,0.23431337,0.21155706,0.1254882,0.1938526,0.12633777,-0.030993149,0.076771915,-0.032953396,0.0033561736,-0.26089934,0.02702716,-0.21860874
0.1355611,-0.17324573,0.11918092,0.2486609,0.25556108,0.24375924,0.11381273,0.23617536,0.1515513,-0.0823004,0.078732185,-0.06447893,0.024443148,-0.2771416,0.06946854,-0.2908029,0.13527666,-0.17402676,0.114037454,0.2503054,0.25564742,0.24252889,0.10710204,0.23601687,0.14961748,-0.07889429,0.07716954,-0.055202484,0.028525203,-0.27904335,0.074710846,-0.29540682
0.07405983,-0.18040489,0.1332342,0.23067208,0.3070675,0.28973392,0.084444605,0.23416308,0.15754156,-0.065554686,0.06749079,-0.08205204,0.034559835,-0.2957803,0.15978889,-0.36430052,0.07719416,-0.18126214,0.14156991,0.22994763,0.30656835,0.2920339,0.083046675,0.23366004,0.15396723,-0.06683028,0.067563,-0.079322636,0.022335052,-0.29623568,0.15635866,-0.35921526
0.025047634,-0.21785456,0.15752782,0.21476057,0.3375328,0.30833638,0.08206476,0.23074192,0.124470554,-0.09138481,0.051878408,-0.038424827,0.056968823,-0.31367046,0.23881425,-0.45157602,0.024199665,-0.2254206,0.16013908,0.22266805,0.3312369,0.3090607,0.07992828,0.23445809,0.1263342,-0.09085983,0.044672307,-0.042542636,0.056168616,-0.30695182,0.23632169,-0.44938946
0.00626273,-0.24805568,0.1867598,0.2164761,0.3551303,0.28156698,0.054258652,0.25314087,0.12628603,-0.10674351,0.019098196,0.0059515927,0.041621137,-0.32009086,0.25945455,-0.48813522,0.009395719,-0.25043404,0.18316627,0.2192266,0.35245067,0.28156507,0.04909289,0.2519648,0.122281,-0.10229671,0.020968974,0.0034396648,0.044748783,-0.32301533,0.26387143,-0.48720932
0.0020492428,-0.2551216,0.19179972,0.21461935,0.35869446,0.2804617,0.037630297,0.25952542,0.13136588,-0.120874785,0.015726801,0.010865606,0.0539006,-0.31537077,0.28620246,-0.5026864,-0.00091326237,-0.25947106,0.18884802,0.21302891,0.35599768,0.27915573,0.040875435,0.26254737,0.13562328,-0.11463463,0.01616618,0.01244843,0.055556536,-0.3168087,0.28226137,-0.5010071
-0.016338462,-0.25909296,0.18030205,0.2107419,0.35124174,0.29289773,0.036353838,0.26365978,0.13358177,-0.11061301,0.021090813,0.022592157,0.05594314,-0.31263223,0.2786311,-0.52440196,-0.014400721,-0.25899303,0.18368578,0.21336639,0.35321116,0.2912748,0.038428426,0.25594807,0.13585621,-0.114011884,0.0182136,0.019832492,0.057661533,-0.31639254,0.29153252,-0.5144167
-0.02798507,-0.26249978,0.18498263,0.21752161,0.34405425,0.28516343,0.043575957,0.26290438,0.14116833,-0.1142922,0.031055588,0.034125164,0.06713675,-0.31871638,0.2913407,-0.5188712,-0.019421697,-0.26028585,0.180619,0.21215701,0.34948063,0.29158902,0.03712672,0.2631476,0.13927525,-0.119638324,0.020650446,0.02778256,0.06377971,-0.31581223,0.29394627,-0.5205221
-0.024592876,-0.2635621,0.18120159,0.21290311,0.36373043,0.29299355,0.03412699,0.27137482,0.13209808,-0.12234002,0.014343035,0.02812794,0.062018532,-0.31463465,0.2852686,-0.5200611,-0.025691748,-0.26566625,0.18223786,0.21227086,0.3552286,0.29242086,0.035610437,0.26447845,0.1388964,-0.11803985,0.0158467,0.03347361,0.062448382,-0.3192873,0.29614973,-0.5181742
-0.033006586,-0.266291,0.18386829,0.22190751,0.36234334,0.2931035,0.029622111,0.26191562,0.14095251,-0.116886795,0.019404517,0.040881105,0.058192648,-0.31653008,0.29649198,-0.5168404,-0.031231165,-0.26619625,0.18468738,0.2134502,0.36043608,0.29648113,0.031130433,0.26331758,0.14106077,-0.12017083,0.015509531,0.036738157,0.059700012,-0.31647086,0.29549074,-0.51825905
-0.028853651,-0.26829207,0.16987833,0.21920696,0.36978227,0.2933152,0.026515229,0.2590529,0.13754977,-0.12082406,0.0076874103,0.03711957,0.06077306,-0.31139317,0.2995003,-0.5252384,-0.032871723,-0.26824737,0.17802715,0.2135086,0.3664466,0.29845,0.027632117,0.26434064,0.13792342,-0.12038612,0.011624038,0.04052806,0.05595374,-0.31444645,0.2973857,-0.52076244
