TS_dim_1,TS_dim_2,TS_dim_3,TS_dim_4,TS_dim_5,TS_dim_6,TS_dim_7,TS_dim_8,TS_dim_9,TS_dim_10,TS_dim_11,TS_dim_12,TS_dim_13,TS_dim_14,TS_dim_15,TS_dim_16,TS_dim_17,TS_dim_18,TS_dim_19,TS_dim_20,TS_dim_21,TS_dim_22,TS_dim_23,TS_dim_24,TS_dim_25,TS_dim_26,TS_dim_27,TS_dim_28,TS_dim_29,TS_dim_30,TS_dim_31,TS_dim_32,RLS_dim_1,RLS_dim_2,RLS_dim_3,RLS_dim_4,RLS_dim_5,RLS_dim_6,RLS_dim_7,RLS_dim_8,RLS_dim_9,RLS_dim_10,RLS_dim_11,RLS_dim_12,RLS_dim_13,RLS_dim_14,RLS_dim_15,RLS_dim_16,RLS_dim_17,RLS_dim_18,RLS_dim_19,RLS_dim_20,RLS_dim_21,RLS_dim_22,RLS_dim_23,RLS_dim_24,RLS_dim_25,RLS_dim_26,RLS_dim_27,RLS_dim_28,RLS_dim_29,RLS_dim_30,RLS_dim_31,RLS_dim_32
0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669,0.17677669
0.012074469,-0.048935506,-0.009119563,0.0046680663,-0.00049074483,-2.079364e-05,-0.01911331,-0.0043178042,-0.0192658,-0.005169959,0.0010884561,-0.0131866755,0.025065195,-0.014831534,-0.022940708,0.010190049,0.0037353155,-0.048938043,-0.023755202,-0.036457375,-0.02197833,0.040568214,-0.006108806,-0.00623763,-0.008755156,-0.018391455,0.004285281,0.0073691662,-0.018721312,-0.007488543,0.021022305,0.06875018,0.012595559,-0.047472082,-0.008775234,-0.002572246,-0.002447877,-0.0029381458,-0.023669455,-0.0040222565,-0.012818925,-0.0073774336,-0.00081330456,-0.0076951347,0.025875906,-0.018781712,-0.021131469,-0.00091272965,0.0022643646,-0.04500624,-0.022939395,-0.030148469,-0.016885946,0.03950022,-0.0064862743,-0.004142115,-0.0038046169,-0.022990953,0.004481836,0.0049424004,-0.019461762,-0.003789112,0.013031937,0.06836438
0.09309916,-0.2282156,-0.12148449,0.07909977,-0.017367262,0.015556226,0.008728449,-0.03854283,-0.09063814,0.026519304,0.06406955,-0.045337558,0.07017631,-0.043848272,-0.019365167,-0.05291505,0.010394751,-0.061682854,-0.12698841,-0.15101969,0.043795377,0.095978014,-0.030389134,-0.047194235,0.02857031,-0.1150998,-0.0026077153,0.0541738,-0.028019512,0.08136843,0.06275084,0.19866413,0.086012885,-0.22770172,-0.12669525,0.075656444,-0.02677919,0.023325063,0.01256682,-0.035517365,-0.0838726,0.022873506,0.06046062,-0.03950183,0.07194663,-0.045252956,-0.016139537,-0.05040483,0.01564163,-0.060087085,-0.11945641,-0.14865243,0.035986587,0.09742242,-0.020136535,-0.04642808,0.025887638,-0.11334336,-0.016531229,0.0586925,-0.030834045,0.0846207,0.069261745,0.20468915
0.07862785,-0.22558767,-0.103928864,0.103945844,-0.0002745369,0.034682978,0.037675086,-0.047897026,-0.0732392,0.017487347,0.068636715,-0.040341597,0.108848065,-0.053224426,0.052906167,-0.058444146,0.0010876344,-0.071900815,-0.14225537,-0.22634678,0.019846808,0.114216365,0.0014759086,-0.03275585,0.034068845,-0.17335725,-0.02836865,0.046445068,-0.0859897,0.14944944,0.07733981,0.2402048,0.08468002,-0.22222048,-0.110916406,0.11069213,-0.0031194612,0.03149645,0.03659013,-0.03986451,-0.078875646,0.024858862,0.06741163,-0.042293876,0.1092836,-0.052903205,0.051225036,-0.05546868,-0.00483948,-0.07758373,-0.1474494,-0.21795511,0.014666285,0.120803714,-0.0007095635,-0.0290155,0.029177226,-0.16738546,-0.022593558,0.045202516,-0.084399045,0.15004739,0.083926976,0.24260664
0.09263851,-0.19155286,-0.07457428,0.15688303,0.022989,0.0230852,0.03903096,-0.075632304,-0.0743794,0.028845267,0.06513146,-0.06605055,0.15815581,-0.13806242,0.052849557,-0.048381727,-0.03181468,-0.104714036,-0.20797254,-0.25523198,-0.00875528,0.11141255,0.033318847,-0.023329444,0.015030803,-0.20520669,-0.0022817203,0.025829632,-0.11211092,0.18355094,0.07863029,0.2418495,0.09601264,-0.19469297,-0.07178688,0.15252024,0.014355436,0.021905445,0.04743719,-0.067917734,-0.07615921,0.025261283,0.06270206,-0.067508936,0.16467202,-0.13052952,0.053130418,-0.047418296,-0.029685676,-0.106661916,-0.20992589,-0.25220084,-0.0031121373,0.11283675,0.03040728,-0.025661342,0.022278935,-0.18984354,-0.008507073,0.033202365,-0.11545757,0.1826389,0.08268219,0.24254274
0.11606915,-0.19242093,-0.08247507,0.18981446,0.020297363,0.026623571,0.06497676,-0.042047646,-0.05259185,0.058604933,0.045635484,-0.14118469,0.18729964,-0.19068074,0.061109643,-0.04728857,-0.0053261626,-0.10018286,-0.2386003,-0.33775276,-0.036076754,0.16132595,0.07251754,-0.017846677,0.0052677435,-0.16869405,0.034555215,0.043140054,-0.16051091,0.22338723,0.060968667,0.19625703,0.11313678,-0.18696618,-0.07654017,0.1961532,0.012103796,0.030529633,0.07250196,-0.036642432,-0.046533585,0.054750383,0.033178985,-0.14875084,0.17223036,-0.182942,0.05501929,-0.04474294,-0.005584538,-0.09686482,-0.23996443,-0.3400712,-0.03573411,0.15208137,0.0744431,-0.026793215,0.012865465,-0.17033839,0.038106143,0.050704986,-0.16355895,0.22782873,0.04401207,0.21270561
0.14111026,-0.22118168,-0.036020797,0.22201563,0.027520718,0.018683065,0.09858534,-0.025531827,-0.08525504,0.059719216,-0.008972984,-0.16453713,0.21349646,-0.17094778,0.07255516,-0.08733986,0.016188977,-0.114114396,-0.2787337,-0.3615563,-0.086156845,0.1560743,0.13488592,0.009002484,-0.01608626,-0.15736565,0.047535174,0.039369587,-0.19395274,0.23395191,0.050350823,0.1798514,0.13096695,-0.21573281,-0.04128313,0.21981652,0.02421444,0.016287535,0.10149068,-0.022717714,-0.07713708,0.06943637,-0.0004440695,-0.16378534,0.20438969,-0.18507296,0.07587312,-0.08586788,0.018113613,-0.10770011,-0.27087075,-0.36259985,-0.079729825,0.14915347,0.135504,0.00616733,-0.016867954,-0.15993237,0.049934626,0.039145537,-0.19793312,0.23379284,0.04296267,0.19038296
0.15722747,-0.22709762,-0.041880056,0.2528255,0.0440751,-0.041204743,0.11264425,-0.012475977,-0.07993351,0.0430306,-0.079420604,-0.17866391,0.18426165,-0.21376196,0.07584166,-0.084850915,0.021757387,-0.12053265,-0.29424262,-0.3728798,-0.0705062,0.18390104,0.19270276,0.019464362,-0.019350424,-0.17080559,0.045604814,0.029003896,-0.22949402,0.2585607,0.031434044,0.14945102,0.15706629,-0.22152328,-0.03755355,0.24880356,0.037308052,-0.030587867,0.11652318,-0.0044540167,-0.084783405,0.051784575,-0.072310746,-0.18364334,0.18561089,-0.20517421,0.08056623,-0.087747335,0.034618497,-0.12766707,-0.29828554,-0.3691733,-0.069716945,0.19350767,0.1805315,0.022443399,-0.019587986,-0.16978347,0.040656924,0.03314708,-0.23257041,0.2638206,0.03508091,0.14838982
0.16931535,-0.19699003,-0.032573607,0.26281825,0.047792956,-0.066227086,0.11179743,0.007059619,-0.059619766,0.061436057,-0.09205125,-0.17774118,0.19489089,-0.2260115,0.07179248,-0.086124144,0.038509388,-0.13294803,-0.30126223,-0.4034416,-0.08083306,0.19970584,0.1814717,0.030280568,-0.021023303,-0.17774898,0.07142846,0.037966777,-0.23102109,0.27556777,0.036935262,0.14237045,0.16946317,-0.21590114,-0.029318452,0.2605706,0.035525825,-0.058421664,0.12136042,0.011641681,-0.05965507,0.06385851,-0.092981935,-0.17977552,0.19626915,-0.22182193,0.07874015,-0.08939886,0.0452646,-0.13388348,-0.29504585,-0.40266895,-0.08968735,0.19844055,0.19080794,0.03721538,-0.013563126,-0.17665803,0.06662738,0.031375825,-0.2339152,0.27457878,0.03285718,0.13381052
0.17277054,-0.22162661,-0.023853265,0.2776736,0.027949344,-0.058328345,0.12614913,0.005721653,-0.072936274,0.08108852,-0.10486878,-0.1849595,0.19865336,-0.21980762,0.06285193,-0.10964206,0.042586815,-0.12850691,-0.2805215,-0.41001368,-0.09066505,0.19664402,0.20435621,0.04027629,-0.0012207981,-0.17613189,0.08914828,0.027627518,-0.25531828,0.26984355,0.04397452,0.12568605,0.17947158,-0.21151996,-0.038618088,0.27203155,0.035952523,-0.05954507,0.120094836,0.0017852783,-0.06395176,0.07513571,-0.10992426,-0.18566169,0.19964433,-0.22919482,0.06441149,-0.098783016,0.04109496,-0.13609457,-0.28134358,-0.4061296,-0.09498736,0.19838852,0.20505977,0.04201123,0.0026998483,-0.18797195,0.08256817,0.027980655,-0.24786615,0.27105632,0.042059183,0.122216225
0.19694287,-0.20998025,-0.03661969,0.28360847,0.034098756,-0.056198463,0.11602666,0.007865928,-0.054729275,0.07395494,-0.11049043,-0.17839625,0.21254884,-0.23394877,0.06264025,-0.10094053,0.041268542,-0.13312593,-0.28183118,-0.39940646,-0.09989823,0.2091826,0.21026659,0.051676966,0.012851166,-0.18672818,0.08140575,0.017866261,-0.25626284,0.2642099,0.031652585,0.12513813,0.18444599,-0.20825434,-0.044128776,0.27857637,0.029412016,-0.062767446,0.11940381,0.0035766363,-0.06872232,0.07753587,-0.11309487,-0.18219437,0.20931703,-0.22874172,0.06494066,-0.10147071,0.039643407,-0.13962913,-0.28052396,-0.40424705,-0.09923273,0.20240098,0.19821894,0.044952735,0.004438117,-0.18871057,0.081876636,0.030080557,-0.2556414,0.27287027,0.03789735,0.11663723
0.19360292,-0.21080047,-0.042473163,0.28656298,0.029208899,-0.052698445,0.12950829,0.016676493,-0.07086535,0.090650424,-0.1104303,-0.18941773,0.20716208,-0.23791914,0.05980878,-0.102419086,0.044631477,-0.15475178,-0.2800774,-0.41078895,-0.10698329,0.20117465,0.19996981,0.04022448,0.015063407,-0.19602033,0.091643535,0.03206189,-0.24766827,0.26721132,0.0427989,0.100742966,0.18947807,-0.21277833,-0.03819108,0.28255582,0.026118554,-0.06419578,0.12893453,0.014157057,-0.07447675,0.08507621,-0.110884964,-0.18720894,0.21123007,-0.23469394,0.055609092,-0.09897041,0.04517722,-0.13656545,-0.28359282,-0.41174412,-0.10710901,0.20957506,0.20601737,0.039806664,0.009232735,-0.19696629,0.08354199,0.031106025,-0.2559147,0.2621888,0.034658432,0.1011982
0.1875843,-0.20513971,-0.042749304,0.28938478,0.03285747,-0.048515067,0.13985811,0.019224048,-0.06950333,0.08894943,-0.11067364,-0.19415464,0.20294087,-0.2450361,0.051412787,-0.09828744,0.062157903,-0.13911305,-0.28487062,-0.42230925,-0.11069527,0.2023911,0.19435106,0.057568334,0.010163555,-0.19938992,0.07489654,0.023037434,-0.24768727,0.26426733,0.03459506,0.09871417,0.18642575,-0.21198905,-0.034820795,0.28913277,0.030285187,-0.06092909,0.13117996,0.012764573,-0.07112929,0.08717728,-0.111078024,-0.19170356,0.20840684,-0.23339975,0.048830047,-0.097512245,0.048998475,-0.13262248,-0.2863425,-0.42042375,-0.104406536,0.21116248,0.20599055,0.047045484,0.0087770745,-0.19612753,0.084971786,0.03412962,-0.259378,0.25832134,0.028634548,0.09917784
0.18168178,-0.21300244,-0.022405714,0.29539278,0.03622309,-0.057487085,0.12860811,0.009300619,-0.07675479,0.09321353,-0.112899944,-0.18969058,0.20576683,-0.23150656,0.046314955,-0.07971533,0.037980765,-0.13431026,-0.29308343,-0.4144628,-0.11902796,0.2202223,0.20144294,0.040419504,0.009907678,-0.19525333,0.09130883,0.048407152,-0.26250198,0.25594825,0.038111202,0.102172166,0.18614839,-0.21019197,-0.036859035,0.2939402,0.032656014,-0.062956035,0.13073969,0.016682863,-0.07517554,0.094222784,-0.11233586,-0.19279484,0.21095389,-0.23281872,0.046510696,-0.08966732,0.050545096,-0.13373756,-0.2882676,-0.4210658,-0.10968733,0.21029617,0.20764911,0.045131013,0.008952938,-0.19743228,0.08592045,0.037894547,-0.2601097,0.2533574,0.0299716,0.09897041
0.18509866,-0.21221472,-0.03762691,0.28752905,0.03528094,-0.060288318,0.14055888,0.01561018,-0.07478157,0.090416946,-0.11360551,-0.1802992,0.20551342,-0.23361929,0.046741962,-0.088884756,0.04537452,-0.13555373,-0.29502246,-0.43278515,-0.11597776,0.20852923,0.20144826,0.05309007,0.005592052,-0.19878042,0.087593585,0.031517267,-0.2600935,0.25718042,0.03460292,0.08414928,0.1854555,-0.21002924,-0.036036134,0.2930233,0.028602183,-0.061894327,0.13628909,0.017933369,-0.07381426,0.10037708,-0.11601901,-0.19160625,0.20814306,-0.23128292,0.047338963,-0.08774853,0.05185467,-0.13054633,-0.29151636,-0.42673373,-0.10940927,0.20715636,0.21406066,0.049075484,0.012385091,-0.19582683,0.0833168,0.036206484,-0.26249787,0.2508394,0.028128147,0.10111809
0.18970862,-0.20965955,-0.036680575,0.2868765,0.008069537,-0.0620941,0.12949167,0.0145749,-0.0707043,0.10152195,-0.12874843,-0.20411949,0.2017489,-0.22703947,0.0425205,-0.08582725,0.0415885,-0.12703179,-0.29455456,-0.42547742,-0.09946904,0.20703359,0.21829857,0.040348995,0.009655935,-0.20330763,0.079008885,0.05544609,-0.2765195,0.25479412,0.03531379,0.086880244,0.18444267,-0.21456313,-0.03528571,0.29128665,0.022154033,-0.061205536,0.13899037,0.021327257,-0.07600963,0.10013819,-0.11795646,-0.18885946,0.21046722,-0.22705287,0.041312523,-0.088974476,0.05033952,-0.1319921,-0.29207963,-0.4288876,-0.107803285,0.20644417,0.21505773,0.050334513,0.012659512,-0.2021501,0.08827448,0.045331106,-0.26257682,0.25461876,0.025072336,0.0923996
0.16841866,-0.21364063,-0.040278018,0.29897386,0.019641154,-0.057125393,0.12301569,0.018751513,-0.07136345,0.11425583,-0.123266526,-0.1860951,0.21671164,-0.23156223,0.03109973,-0.08624028,0.05392606,-0.14414103,-0.2972008,-0.42549554,-0.11479869,0.20779966,0.2271429,0.057817906,0.009759116,-0.19135666,0.08987999,0.053542927,-0.26665065,0.25445572,0.024798285,0.091156885,0.18414262,-0.21417177,-0.037286162,0.29340446,0.025743037,-0.061079785,0.13633446,0.017958462,-0.07993403,0.10658336,-0.1164245,-0.18920517,0.20965481,-0.22906725,0.03962157,-0.08504534,0.049754918,-0.1332035,-0.28981107,-0.43266773,-0.10785252,0.20588547,0.21691,0.054746985,0.01551111,-0.19771966,0.08755195,0.046924166,-0.2668335,0.2532152,0.024189472,0.09041071
